Best_5_players,Current_Team
Ruturaj Gaikwad,Chennai Super Kings
Ravindra Jadeja,Chennai Super Kings
Moeen Ali,Chennai Super Kings
Shivam Dube,Chennai Super Kings
Shardul Thakur,Chennai Super Kings
Axar Patel,Delhi Capitals
Rishabh Pant,Delhi Capitals
Kuldeep Yadav,Delhi Capitals
David Warner,Delhi Capitals
Prithvi Shaw,Delhi Capitals
Shubman Gill,Gujarat Titans
Rashid Khan,Gujarat Titans
Mohit Sharma,Gujarat Titans
Sai Sudharsan,Gujarat Titans
David Miller,Gujarat Titans
Rinku Singh,Kolkata Knight Riders
Andre Russell,Kolkata Knight Riders
Sunil Narine,Kolkata Knight Riders
Phil Salt,Kolkata Knight Riders
Varun Chakravarthy,Kolkata Knight Riders
KL Rahul,Lucknow Super Giants
Krunal Pandya,Lucknow Super Giants
Marcus Stoinis,Lucknow Super Giants
Nicholas Pooran,Lucknow Super Giants
Quinton de Kock,Lucknow Super Giants
Hardik Pandya,Mumbai Indians
Jasprit Bumrah,Mumbai Indians
Ishan Kishan,Mumbai Indians
Suryakumar Yadav,Mumbai Indians
Tilak Varma,Mumbai Indians
Harshal Patel,Punjab Kings
Shashank Singh,Punjab Kings
Sam Curran,Punjab Kings
Shikhar Dhawan,Punjab Kings
Arshdeep Singh,Punjab Kings
Sanju Samson,Rajasthan Royals
Jos Buttler,Rajasthan Royals
Yuzvendra Chahal,Rajasthan Royals
Yashasvi Jaiswal,Rajasthan Royals
Avesh Khan,Rajasthan Royals
Faf du Plessis,Royal Challengers Bengaluru
Virat Kohli,Royal Challengers Bengaluru
Cameron Green,Royal Challengers Bengaluru
Glenn Maxwell,Royal Challengers Bengaluru
Mohammed Siraj,Royal Challengers Bengaluru
Travis Head,Sunrisers Hyderabad
Heinrich Klaasen,Sunrisers Hyderabad
Abhishek Sharma,Sunrisers Hyderabad
Rahul Tripathi,Sunrisers Hyderabad
Pat Cummins,Sunrisers Hyderabad
